# newdoc id = bar_wiki_Die-beiden-Herren-Söhne
# sent_id = bar_wiki_Die-beiden-Herren-Söhne-1
# text = Die beiden Herren Söhne
Die	B-WOA	B-WOA	B-WOA
beiden	I-WOA	I-WOA	I-WOA
Herren	I-WOA	I-WOA	I-WOA
Söhne	I-WOA	I-WOA	I-WOA

# sent_id = bar_wiki_Die-beiden-Herren-Söhne-2
# text = Die beiden Herren Söhne is a " Posse mit Gesang in fünf Acten " vom Johann Nestroy .
Die	B-WOA	B-WOA	B-WOA
beiden	I-WOA	I-WOA	I-WOA
Herren	I-WOA	I-WOA	I-WOA
Söhne	I-WOA	I-WOA	I-WOA
is	O	O	O
a	O	O	O
"	O	O	O
Posse	O	O	O
mit	O	O	O
Gesang	O	O	O
in	O	O	O
fünf	O	O	O
Acten	O	O	O
"	O	O	O
vom	O	O	O
Johann	B-PER	B-PER	B-PER
Nestroy	I-PER	I-PER	I-PER
.	O	O	O

# sent_id = bar_wiki_Die-beiden-Herren-Söhne-3
# text = De easchte Auffüahrung woa'r aum 16. Jänna 1845 im Theater an der Wien ois Benefizvuastöllung füa'n Dichta söwa .
De	O	O	O
easchte	O	O	O
Auffüahrung	O	O	O
woa'r	O	O	O
aum	O	O	O
16.	O	O	O
Jänna	O	O	O
1845	O	O	O
im	O	O	O
Theater	B-LOC	B-LOC	B-LOC
an	I-LOC	I-LOC	I-LOC
der	I-LOC	I-LOC	I-LOC
Wien	I-LOC	I-LOC	I-LOC
ois	O	O	O
Benefizvuastöllung	O	O	O
füa'n	O	O	O
Dichta	O	O	O
söwa	O	O	O
.	O	O	O

# sent_id = bar_wiki_Die-beiden-Herren-Söhne-4
# text = De zwaa Vettan , de wo Hoibwais'n san , wea'n von eahnare vawitwet'n Eltern völlich geg'nsätzlich eazog'n : da Herr von Eckheim legt beim Moritz greßt's G'wicht auf Büidung und Gehoasaum , de Frau Helmbach mechtat iah'n Sohn Viktor kanalei Vuaschrift'n måch'n und låsst eahm freie Haund .
De	O	O	O
zwaa	O	O	O
Vettan	O	O	O
,	O	O	O
de	O	O	O
wo	O	O	O
Hoibwais'n	O	O	O
san	O	O	O
,	O	O	O
wea'n	O	O	O
von	O	O	O
eahnare	O	O	O
vawitwet'n	O	O	O
Eltern	O	O	O
völlich	O	O	O
geg'nsätzlich	O	O	O
eazog'n	O	O	O
:	O	O	O
da	O	O	O
Herr	O	B-PER	B-PER
von	B-PER	I-PER	I-PER
Eckheim	I-PER	I-PER	I-PER
legt	O	O	O
beim	O	O	O
Moritz	B-PER	B-PER	B-PER
greßt's	O	O	O
G'wicht	O	O	O
auf	O	O	O
Büidung	O	O	O
und	O	O	O
Gehoasaum	O	O	O
,	O	O	O
de	O	O	O
Frau	O	B-PER	B-PER
Helmbach	B-PER	I-PER	I-PER
mechtat	O	O	O
iah'n	O	O	O
Sohn	O	O	O
Viktor	B-PER	B-PER	B-PER
kanalei	O	O	O
Vuaschrift'n	O	O	O
måch'n	O	O	O
und	O	O	O
låsst	O	O	O
eahm	O	O	O
freie	O	O	O
Haund	O	O	O
.	O	O	O

# sent_id = bar_wiki_Die-beiden-Herren-Söhne-5
# text = De zwaa Söhn' nehman se vua , eahnare Freindinna in d' Stådt zum entfüah'n , weu weda de eiganan , no de Eltern von de Madln mit dem G'spusi einvastaund'n san .
De	O	O	O
zwaa	O	O	O
Söhn'	O	O	O
nehman	O	O	O
se	O	O	O
vua	O	O	O
,	O	O	O
eahnare	O	O	O
Freindinna	O	O	O
in	O	O	O
d'	O	O	O
Stådt	O	O	O
zum	O	O	O
entfüah'n	O	O	O
,	O	O	O
weu	O	O	O
weda	O	O	O
de	O	O	O
eiganan	O	O	O
,	O	O	O
no	O	O	O
de	O	O	O
Eltern	O	O	O
von	O	O	O
de	O	O	O
Madln	O	O	O
mit	O	O	O
dem	O	O	O
G'spusi	O	O	O
einvastaund'n	O	O	O
san	O	O	O
.	O	O	O

# sent_id = bar_wiki_Die-beiden-Herren-Söhne-6
# text = Da Moritz is üwa sein Ungehoasaum unglicklich , da Vinzenz is dabei z'wengan Åb'nteia und weul a damit seina Muada Contra geb'n kau , da Austifta :
Da	O	O	O
Moritz	B-PER	B-PER	B-PER
is	O	O	O
üwa	O	O	O
sein	O	O	O
Ungehoasaum	O	O	O
unglicklich	O	O	O
,	O	O	O
da	O	O	O
Vinzenz	B-PER	B-LOC	B-LOC
is	O	O	O
dabei	O	O	O
z'wengan	O	O	O
Åb'nteia	O	O	O
und	O	O	O
weul	O	O	O
a	O	O	O
damit	O	O	O
seina	O	O	O
Muada	O	O	O
Contra	O	O	O
geb'n	O	O	O
kau	O	O	O
,	O	O	O
da	O	O	O
Austifta	O	O	O
:	O	O	O

# sent_id = bar_wiki_Die-beiden-Herren-Söhne-7
# text = In da Stådt is boid zum bemeak'n , dass de Madln mit dera Situateaun üwahaupts net z'fried'n san , se suach'n sa aundere Bekaunntschåft' n. Da Balg , den wo de Frau Helmbach ois Untastütza füa'n Sohn mitg'schickt håt , zeigt se ois Schmarotza und Faulpöiz , da Vinzenz hüift in Moritz amoi aus ana Göidvaleg'nheit aussa , owa boid ist ollas pfutsch , wås a von z' Haus kriagt .
In	O	O	O
da	O	O	O
Stådt	O	O	O
is	O	O	O
boid	O	O	O
zum	O	O	O
bemeak'n	O	O	O
,	O	O	O
dass	O	O	O
de	O	O	O
Madln	O	O	O
mit	O	O	O
dera	O	O	O
Situateaun	O	O	O
üwahaupts	O	O	O
net	O	O	O
z'fried'n	O	O	O
san	O	O	O
,	O	O	O
se	O	O	O
suach'n	O	O	O
sa	O	O	O
aundere	O	O	O
Bekaunntschåft'	O	O	O
n.	O	O	O
Da	O	O	O
Balg	B-PER	B-PER	B-PER
,	O	O	O
den	O	O	O
wo	O	O	O
de	O	O	O
Frau	O	B-PER	B-PER
