# newdoc id = bar_wiki_Humoristische-Eilwagen-Reise-durch-die-Theaterwelt
# sent_id = bar_wiki_Humoristische-Eilwagen-Reise-durch-die-Theaterwelt-1
# text = Humoristische Eilwagen-Reise durch die Theaterwelt
Humoristische	B-WOA	B-WOA	B-WOA
Eilwagen-Reise	I-WOA	I-WOA	I-WOA
durch	I-WOA	I-WOA	I-WOA
die	I-WOA	I-WOA	I-WOA
Theaterwelt	I-WOA	I-WOA	I-WOA

# sent_id = bar_wiki_Humoristische-Eilwagen-Reise-durch-die-Theaterwelt-2
# text = Humoristische Eilwagen-Reise durch die Theaterwelt .
Humoristische	B-WOA	B-WOA	B-WOA
Eilwagen-Reise	I-WOA	I-WOA	I-WOA
durch	I-WOA	I-WOA	I-WOA
die	I-WOA	I-WOA	I-WOA
Theaterwelt	I-WOA	I-WOA	I-WOA
.	O	O	O

# sent_id = bar_wiki_Humoristische-Eilwagen-Reise-durch-die-Theaterwelt-3
# text = Tragikomisches , in bestmöglichsten Styl geschaffenes , ohne Schatten und Licht hingestelltes , mit Vermeidung alles noch nie Gesehenen , aus mehreren alten Stücken ganz neu zusammengestelltes , arrangirtes und bearbeitetes Quodlibet in zwey Acten nebst einem damit verbundenen Vorspiele , unter dem Titel : Der Theaterdiener , die Benefizvorstellung und das Quodlibet is a " Quodlibet in zwey Acten " .
Tragikomisches	O	O	O
,	O	O	O
in	O	O	O
bestmöglichsten	O	O	O
Styl	O	O	O
geschaffenes	O	O	O
,	O	O	O
ohne	O	O	O
Schatten	O	O	O
und	O	O	O
Licht	O	O	O
hingestelltes	O	O	O
,	O	O	O
mit	O	O	O
Vermeidung	O	O	O
alles	O	O	O
noch	O	O	O
nie	O	O	O
Gesehenen	O	O	O
,	O	O	O
aus	O	O	O
mehreren	O	O	O
alten	O	O	O
Stücken	O	O	O
ganz	O	O	O
neu	O	O	O
zusammengestelltes	O	O	O
,	O	O	O
arrangirtes	O	O	O
und	O	O	O
bearbeitetes	O	O	O
Quodlibet	O	O	O
in	O	O	O
zwey	O	O	O
Acten	O	O	O
nebst	O	O	O
einem	O	O	O
damit	O	O	O
verbundenen	O	O	O
Vorspiele	O	O	O
,	O	O	O
unter	O	O	O
dem	O	O	O
Titel	O	O	O
:	O	O	O
Der	B-WOA	B-WOA	B-WOA
Theaterdiener	I-WOA	I-WOA	I-WOA
,	I-WOA	I-WOA	I-WOA
die	I-WOA	I-WOA	I-WOA
Benefizvorstellung	I-WOA	I-WOA	I-WOA
und	I-WOA	I-WOA	I-WOA
das	I-WOA	I-WOA	I-WOA
Quodlibet	I-WOA	I-WOA	I-WOA
is	I-WOA	O	O
a	I-WOA	O	O
"	O	O	O
Quodlibet	O	O	O
in	O	O	O
zwey	O	O	O
Acten	O	O	O
"	O	O	O
.	O	O	O

# sent_id = bar_wiki_Humoristische-Eilwagen-Reise-durch-die-Theaterwelt-4
# text = Es is aum 23. Mai 1832 im Theater an der Wien ois Benefizåb'nd füa'n Schauspüla Friedrich Hopp aufg'füaht wua' n. Ob dea söwa oda da Johann Nestroy de Z'saumm'stöllung mit Textvaändarungan durchg'füaht håt , ist nimma mit Sichaheit feststöllboa .
Es	O	O	O
is	O	O	O
aum	O	O	O
23.	O	O	O
Mai	O	O	O
1832	O	O	O
im	O	O	O
Theater	B-LOC	B-LOC	B-LOC
an	I-LOC	I-LOC	I-LOC
der	I-LOC	I-LOC	I-LOC
Wien	I-LOC	I-LOC	I-LOC
ois	O	O	O
Benefizåb'nd	O	O	O
füa'n	O	O	O
Schauspüla	O	O	O
Friedrich	B-PER	B-PER	B-PER
Hopp	I-PER	I-PER	I-PER
aufg'füaht	O	O	O
wua'	O	O	O
n.	O	O	O
Ob	O	O	O
dea	O	O	O
söwa	O	O	O
oda	O	O	O
da	O	O	O
Johann	B-PER	B-PER	B-PER
Nestroy	I-PER	I-PER	I-PER
de	O	O	O
Z'saumm'stöllung	O	O	O
mit	O	O	O
Textvaändarungan	O	O	O
durchg'füaht	O	O	O
håt	O	O	O
,	O	O	O
ist	O	O	O
nimma	O	O	O
mit	O	O	O
Sichaheit	O	O	O
feststöllboa	O	O	O
.	O	O	O

# sent_id = bar_wiki_Humoristische-Eilwagen-Reise-durch-die-Theaterwelt-5
# text = In an engan Z'saummanhaung mit dem Stückl steht des Stück " Magische Eilwagenreise durch die Comödienwelt " ( 1830 ) .
In	O	O	O
an	O	O	O
engan	O	O	O
Z'saummanhaung	O	O	O
mit	O	O	O
dem	O	O	O
Stückl	O	O	O
steht	O	O	O
des	O	O	O
Stück	O	O	O
"	O	O	O
Magische	B-WOA	B-WOA	B-WOA
Eilwagenreise	I-WOA	I-WOA	I-WOA
durch	I-WOA	I-WOA	I-WOA
die	I-WOA	I-WOA	I-WOA
Comödienwelt	I-WOA	I-WOA	I-WOA
"	O	O	O
(	O	O	O
1830	O	O	O
)	O	O	O
.	O	O	O

# sent_id = bar_wiki_Humoristische-Eilwagen-Reise-durch-die-Theaterwelt-6
# text = Zu de aundan Quodlibets vom Nestroy und zu oigemeine Aunmerkungan üwa des Genre schau in den Artik'l " Dramatische Quodlibets von Johann Nestroy " .
Zu	O	O	O
de	O	O	O
aundan	O	O	O
Quodlibets	O	O	O
vom	O	O	O
Nestroy	B-PER	B-PER	B-PER
und	O	O	O
zu	O	O	O
oigemeine	O	O	O
Aunmerkungan	O	O	O
üwa	O	O	O
des	O	O	O
Genre	O	O	O
schau	O	O	O
in	O	O	O
den	O	O	O
Artik'l	O	O	O
"	O	O	O
Dramatische	B-WOA	B-WOA	B-WOA
Quodlibets	I-WOA	I-WOA	I-WOA
von	I-WOA	I-WOA	I-WOA
Johann	I-WOA	I-WOA	I-WOA
Nestroy	I-WOA	I-WOA	I-WOA
"	O	O	O
.	O	O	O

# sent_id = bar_wiki_Humoristische-Eilwagen-Reise-durch-die-Theaterwelt-7
# text = In seina Theatakanzlei leant da Pfauenfeder sei söwa g'schriebane Roi'n auswendich , owa in Theatadiena Strobelkopf is inzwisch'n im Wiatshaus des Manuskript von an Hund zafetzt wua' n. In seina Not reißt ea aus aundare Manuskript'n etliche Seit'n ausse und låsst des Gaunze neich bind' n. Dabei wiad ea vom Fett dawischt , der wo eahm sofuat beim Regisseur varråt und eahm aa no ausspott' :
In	O	O	O
seina	O	O	O
Theatakanzlei	O	O	O
leant	O	O	O
da	O	O	O
Pfauenfeder	B-PER	B-PER	B-PER
sei	O	O	O
söwa	O	O	O
g'schriebane	O	O	O
Roi'n	O	O	O
auswendich	O	O	O
,	O	O	O
owa	O	O	O
in	O	O	O
Theatadiena	O	O	O
Strobelkopf	O	B-PER	B-PER
is	O	O	O
inzwisch'n	O	O	O
im	O	O	O
Wiatshaus	O	O	O
des	O	O	O
Manuskript	O	O	O
von	O	O	O
an	O	O	O
Hund	O	O	O
zafetzt	O	O	O
wua'	O	O	O
n.	O	O	O
In	O	O	O
seina	O	O	O
Not	O	O	O
reißt	O	O	O
ea	O	O	O
aus	O	O	O
aundare	O	O	O
Manuskript'n	O	O	O
etliche	O	O	O
Seit'n	O	O	O
ausse	O	O	O
und	O	O	O
låsst	O	O	O
des	O	O	O
Gaunze	O	O	O
neich	O	O	O
bind'	O	O	O
n.	O	O	O
Dabei	O	O	O
wiad	O	O	O
ea	O	O	O
vom	O	O	O
Fett	B-PER	B-PER	B-PER
dawischt	O	O	O
,	O	O	O
der	O	O	O
wo	O	O	O
eahm	O	O	O
sofuat	O	O	O
beim	O	O	O
Regisseur	O	O	O
varråt	O	O	O
und	O	O	O
eahm	O	O	O
aa	O	O	O
no	O	O	O
ausspott'	O	O	O
:	O	O	O

# sent_id = bar_wiki_Humoristische-Eilwagen-Reise-durch-die-Theaterwelt-8
# text = Weu in dem Moment da Souffleur möld't , dass des Haus ausvakauft is , traut se da Regisseur in seina Not , des z'saummg'stoppelte Quodlibet zum auffiah' n. Da Strobelkopf singt üwa sein Beruf , aus'm Schlusschor vom Adolf Bäuerle seina Poss'n " Moderne Wirthschaft und Don Juans Streiche " , komponiat vom Adolf Müller senior :
Weu	O	O	O
in	O	O	O
dem	O	O	O
Moment	O	O	O
da	O	O	O
Souffleur	O	O	O
möld't	O	O	O
,	O	O	O
dass	O	O	O
des	O	O	O
Haus	O	O	O
ausvakauft	O	O	O
is	O	O	O
,	O	O	O
traut	O	O	O
se	O	O	O
da	O	O	O
Regisseur	O	O	O
in	O	O	O
seina	O	O	O
Not	O	O	O
,	O	O	O
des	O	O	O
z'saummg'stoppelte	O	O	O
Quodlibet	O	O	O
zum	O	O	O
auffiah'	O	O	O
n.	O	O	O
Da	O	O	O
Strobelkopf	B-PER	B-PER	B-PER
singt	O	O	O
üwa	O	O	O
sein	O	O	O
Beruf	O	O	O
,	O	O	O
aus'm	O	O	O
Schlusschor	O	O	O
vom	O	O	O
Adolf	B-PER	B-PER	B-PER
Bäuerle	I-PER	I-PER	I-PER
seina	O	O	O
Poss'n	O	O	O
"	O	O	O
Moderne	B-WOA	B-WOA	B-WOA
Wirthschaft	I-WOA	I-WOA	I-WOA
und	I-WOA	I-WOA	I-WOA
Don	I-WOA	I-WOA	I-WOA
Juans	I-WOA	I-WOA	I-WOA
Streiche	I-WOA	I-WOA	I-WOA
"	O	O	O
,	O	O	O
komponiat	O	O	O
vom	O	O	O
Adolf	B-PER	B-PER	B-PER
Müller	I-PER	I-PER	I-PER
senior	O	O	O
:	O	O	O

# sent_id = bar_wiki_Humoristische-Eilwagen-Reise-durch-die-Theaterwelt-9
# text = <poem>
<poem>	O	O	O

# sent_id = bar_wiki_Humoristische-Eilwagen-Reise-durch-die-Theaterwelt-10
# text = </poem>
</poem>	O	O	O

# sent_id = bar_wiki_Humoristische-Eilwagen-Reise-durch-die-Theaterwelt-11
# text = Nåch'n Franz Ignaz von Holbein sein " Fridolin " mit da ei'g'schobanan Figua vom Quecksilber aus'n Ferdinand Raimund sein " Der Barometermacher auf der Zauberinsel " kummt des våtaländische Stückl " Karl von Österreich oder Die Wunder im Erzberg " , nåcha " Die Waise und der Mörder " vom Frédéric Dupetit-Méré ( 1785 – 1827 ) , nåcha a Szene aus'n Friedrich Schiller sein " Die Räuber " , daunn a Parodie auf a Szene aus'n " Der Barbier von Sevilla " vom Gioachino Rossini , daunn in Karl August Lebrun sei Stückl " Nummer 777 " .
Nåch'n	O	O	O
Franz	B-PER	B-PER	B-PER
Ignaz	I-PER	I-PER	I-PER
von	I-PER	I-PER	I-PER
Holbein	I-PER	I-PER	I-PER
sein	O	O	O
"	O	O	O
Fridolin	B-WOA	B-WOA	B-WOA
"	O	O	O
mit	O	O	O
da	O	O	O
ei'g'schobanan	O	O	O
Figua	O	O	O
vom	O	O	O
Quecksilber	O	B-WOA	B-WOA
aus'n	O	O	O
Ferdinand	B-PER	B-PER	B-PER
Raimund	I-PER	I-PER	I-PER
sein	O	O	O
"	O	O	O
Der	B-WOA	B-WOA	B-WOA
Barometermacher	I-WOA	I-WOA	I-WOA
auf	I-WOA	I-WOA	I-WOA
der	I-WOA	I-WOA	I-WOA
Zauberinsel	I-WOA	I-WOA	I-WOA
"	O	O	O
kummt	O	O	O
des	O	O	O
våtaländische	O	O	O
Stückl	O	O	O
