# newdoc id = bar_wiki_Los-Angeles
# sent_id = bar_wiki_Los-Angeles-1
# text = Los Angeles
Los	B-LOC	B-LOC	B-LOC
Angeles	I-LOC	I-LOC	I-LOC

# sent_id = bar_wiki_Los-Angeles-2
# text = Los Angeles ( ausm spanischn " Los Ángeles " ) is a Stod im Bundesstoot Kalifornien in da USA .
Los	B-LOC	B-LOC	B-LOC
Angeles	I-LOC	I-LOC	I-LOC
(	O	O	O
ausm	O	O	O
spanischn	B-LANG	B-LANGderiv	B-LANGderiv
"	O	O	O
Los	B-LOC	O	O
Ángeles	I-LOC	O	O
"	O	O	O
)	O	O	O
is	O	O	O
a	O	O	O
Stod	O	O	O
im	O	O	O
Bundesstoot	O	B-LOC	B-LOC
Kalifornien	B-LOC	I-LOC	I-LOC
in	O	O	O
da	O	O	O
USA	B-LOC	B-LOC	B-LOC
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-3
# text = Sie liegt am Pazifischem Ozean und am Fluss Los Angeles .
Sie	O	O	O
liegt	O	O	O
am	O	O	O
Pazifischem	B-LOC	B-LOC	B-LOC
Ozean	I-LOC	I-LOC	I-LOC
und	O	O	O
am	O	O	O
Fluss	O	B-LOC	B-LOC
Los	B-LOC	I-LOC	I-LOC
Angeles	I-LOC	I-LOC	I-LOC
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-4
# text = De haifige ( oft umgangssprochliche ) Obkiazung is " L. A " .
De	O	O	O
haifige	O	O	O
(	O	O	O
oft	O	O	O
umgangssprochliche	O	O	O
)	O	O	O
Obkiazung	O	O	O
is	O	O	O
"	O	O	O
L.	B-LOC	B-LOC	B-LOC
A	I-LOC	I-LOC	I-LOC
"	O	O	O
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-5
# text = Wega da spanischn Bedeitung vom Stodnama ( " De Engl " ) drogt de Stod aa in Beinama " City of Angeles " ( " Stod vo de Engl " ) .
Wega	O	O	O
da	O	O	O
spanischn	B-LANGderiv	B-LANG	B-LANG
Bedeitung	O	O	O
vom	O	O	O
Stodnama	O	O	O
(	O	O	O
"	O	O	O
De	O	O	O
Engl	O	O	O
"	O	O	O
)	O	O	O
drogt	O	O	O
de	O	O	O
Stod	O	O	O
aa	O	O	O
in	O	O	O
Beinama	O	O	O
"	O	O	O
City	O	B-LOC	B-LOC
of	O	I-LOC	I-LOC
Angeles	O	I-LOC	I-LOC
"	O	O	O
(	O	O	O
"	O	O	O
Stod	O	O	O
vo	O	O	O
de	O	O	O
Engl	O	O	O
"	O	O	O
)	O	O	O
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-6
# text = Los Angeles is de Hauptstod vom Los Angeles County und mit 3.928.864 de zwoatgrässte Stod in da USA noch New York City .
Los	B-LOC	B-LOC	B-LOC
Angeles	I-LOC	I-LOC	I-LOC
is	O	O	O
de	O	O	O
Hauptstod	O	O	O
vom	O	O	O
Los	B-LOC	B-LOC	B-LOC
Angeles	I-LOC	I-LOC	I-LOC
County	I-LOC	I-LOC	I-LOC
und	O	O	O
mit	O	O	O
3.928.864	O	O	O
de	O	O	O
zwoatgrässte	O	O	O
Stod	O	O	O
in	O	O	O
da	O	O	O
USA	B-LOC	B-LOC	B-LOC
noch	O	O	O
New	B-LOC	B-LOC	B-LOC
York	I-LOC	I-LOC	I-LOC
City	I-LOC	I-LOC	I-LOC
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-7
# text = Mit oana Einwohnazoi vo 12.828.837 im Bollungsgebiet is oane vo de grässtn Städt vo da Wejd .
Mit	O	O	O
oana	O	O	O
Einwohnazoi	O	O	O
vo	O	O	O
12.828.837	O	O	O
im	O	O	O
Bollungsgebiet	O	O	O
is	O	O	O
oane	O	O	O
vo	O	O	O
de	O	O	O
grässtn	O	O	O
Städt	O	O	O
vo	O	O	O
da	O	O	O
Wejd	O	O	O
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-8
# text = Los Angeles is a wichtiga Standort fia de Flugzeig- und Raumfoatindustrie und aa bekannt wega da do osässign Fuim- und Fernsengindustrie Hollywood und Musiszene .
Los	B-LOC	B-LOC	B-LOC
Angeles	I-LOC	I-LOC	I-LOC
is	O	O	O
a	O	O	O
wichtiga	O	O	O
Standort	O	O	O
fia	O	O	O
de	O	O	O
Flugzeig-	O	O	O
und	O	O	O
Raumfoatindustrie	O	O	O
und	O	O	O
aa	O	O	O
bekannt	O	O	O
wega	O	O	O
da	O	O	O
do	O	O	O
osässign	O	O	O
Fuim-	O	O	O
und	O	O	O
Fernsengindustrie	O	O	O
Hollywood	B-LOC	B-LOC	B-LOC
und	O	O	O
Musiszene	O	O	O
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-9
# text = Da Stodkean und de Voaorte vo Los Angeles lieng in oana higligen Kistenregion durchschnittleh 32 Meta iwan Mearesspiagl .
Da	O	O	O
Stodkean	O	O	O
und	O	O	O
de	O	O	O
Voaorte	O	O	O
vo	O	O	O
Los	B-LOC	B-LOC	B-LOC
Angeles	I-LOC	I-LOC	I-LOC
lieng	O	O	O
in	O	O	O
oana	O	O	O
higligen	O	O	O
Kistenregion	O	O	O
durchschnittleh	O	O	O
32	O	O	O
Meta	O	O	O
iwan	O	O	O
Mearesspiagl	O	O	O
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-10
# text = Im Westn und Sidn grenzt de Stod and Bucht vo Santa Monica vom Pazifik .
Im	O	O	O
Westn	O	O	O
und	O	O	O
Sidn	O	O	O
grenzt	O	O	O
de	O	O	O
Stod	O	O	O
and	O	O	O
Bucht	B-LOC	O	O
vo	I-LOC	O	O
Santa	I-LOC	B-LOC	B-LOC
Monica	I-LOC	I-LOC	I-LOC
vom	O	O	O
Pazifik	B-LOC	B-LOC	B-LOC
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-11
# text = Im Osten und Noaden is se vo Gebiaskettn umgem .
Im	O	O	O
Osten	O	O	O
und	O	O	O
Noaden	O	O	O
is	O	O	O
se	O	O	O
vo	O	O	O
Gebiaskettn	O	O	O
umgem	O	O	O
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-12
# text = Emfois im Noaden vo da Stod liegt as San Fernando Valley , in dem a Drittel dea Bewohna übarwiegend in Oafamilienheisan läbt .
Emfois	O	O	O
im	O	O	O
Noaden	O	O	O
vo	O	O	O
da	O	O	O
Stod	O	O	O
liegt	O	O	O
as	O	O	O
San	B-LOC	B-LOC	B-LOC
Fernando	I-LOC	I-LOC	I-LOC
Valley	I-LOC	I-LOC	I-LOC
,	O	O	O
in	O	O	O
dem	O	O	O
a	O	O	O
Drittel	O	O	O
dea	O	O	O
Bewohna	O	O	O
übarwiegend	O	O	O
in	O	O	O
Oafamilienheisan	O	O	O
läbt	O	O	O
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-13
# text = As Tol is duach den Griffith Park und de Santa Monica Mountains vo Hollywood und da Innenstadt obgschnittn .
As	O	O	O
Tol	O	O	O
is	O	O	O
duach	O	O	O
den	O	O	O
Griffith	B-LOC	B-LOC	B-LOC
Park	I-LOC	I-LOC	I-LOC
und	O	O	O
de	O	O	O
Santa	B-LOC	B-LOC	B-LOC
Monica	I-LOC	I-LOC	I-LOC
Mountains	I-LOC	I-LOC	I-LOC
vo	O	O	O
Hollywood	B-LOC	B-LOC	B-LOC
und	O	O	O
da	O	O	O
Innenstadt	O	O	O
obgschnittn	O	O	O
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-14
# text = As üba 1.290,6 Quadratkilometa verteilte Stodgebiet vo Los Angeles ( 71 Kilometa in Noad-Sid-Richtung und 47 Kilometar in Ost-West-Richtung ) is duach a System vo Schneistroßn ( Freeways , Stohl- und Betonkonstruktiona ) midanader verbundn .
As	O	O	O
üba	O	O	O
1.290,6	O	O	O
Quadratkilometa	O	O	O
verteilte	O	O	O
Stodgebiet	O	O	O
vo	O	O	O
Los	B-LOC	B-LOC	B-LOC
Angeles	I-LOC	I-LOC	I-LOC
(	O	O	O
71	O	O	O
Kilometa	O	O	O
in	O	O	O
Noad-Sid-Richtung	O	O	O
und	O	O	O
47	O	O	O
Kilometar	O	O	O
in	O	O	O
Ost-West-Richtung	O	O	O
)	O	O	O
is	O	O	O
duach	O	O	O
a	O	O	O
System	O	O	O
vo	O	O	O
Schneistroßn	O	O	O
(	O	O	O
Freeways	O	O	O
,	O	O	O
Stohl-	O	O	O
und	O	O	O
Betonkonstruktiona	O	O	O
)	O	O	O
midanader	O	O	O
verbundn	O	O	O
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-15
# text = De Auto- ( gräßte Kraftfahrzeigdicht dea Weit ) und Industrieobgase san zu am drängendn Umweitproblem ( Smog ) gwoan .
De	O	O	O
Auto-	O	O	O
(	O	O	O
gräßte	O	O	O
Kraftfahrzeigdicht	O	O	O
dea	O	O	O
Weit	O	O	O
)	O	O	O
und	O	O	O
Industrieobgase	O	O	O
san	O	O	O
zu	O	O	O
am	O	O	O
drängendn	O	O	O
Umweitproblem	O	O	O
(	O	O	O
Smog	O	O	O
)	O	O	O
gwoan	O	O	O
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-16
# text = Los Angeles hod oanes dea gräßten Smogprobleme in de USA .
Los	B-LOC	B-LOC	B-LOC
Angeles	I-LOC	I-LOC	I-LOC
hod	O	O	O
oanes	O	O	O
dea	O	O	O
gräßten	O	O	O
Smogprobleme	O	O	O
in	O	O	O
de	O	O	O
USA	B-LOC	B-LOC	B-LOC
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-17
# text = De Stod wiad manchmoi ois " horizontal city " bezeichnet , da´s relativ weniche Wolkenkratzer bsitzt und das gsamte Stodgebiet sea weitleifig is .
De	O	O	O
Stod	O	O	O
wiad	O	O	O
manchmoi	O	O	O
ois	O	O	O
"	O	O	O
horizontal	O	O	O
city	O	O	O
"	O	O	O
bezeichnet	O	O	O
,	O	O	O
da´s	O	O	O
relativ	O	O	O
weniche	O	O	O
Wolkenkratzer	O	O	O
bsitzt	O	O	O
und	O	O	O
das	O	O	O
gsamte	O	O	O
Stodgebiet	O	O	O
sea	O	O	O
weitleifig	O	O	O
is	O	O	O
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-18
# text = Houche Grundstickspreise fian im Zentrum vo Los Angeles drotzdem dazua , dass Hochheisa sich doat inzwischn a duachsetzn .
Houche	O	O	O
Grundstickspreise	O	O	O
fian	O	O	O
im	O	O	O
Zentrum	O	O	O
vo	O	O	O
Los	B-LOC	B-LOC	B-LOC
Angeles	I-LOC	I-LOC	I-LOC
drotzdem	O	O	O
dazua	O	O	O
,	O	O	O
dass	O	O	O
Hochheisa	O	O	O
sich	O	O	O
doat	O	O	O
inzwischn	O	O	O
a	O	O	O
duachsetzn	O	O	O
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-19
# text = In da Metropolregion Los Angeles befindn sich 173 seibständige Städte .
In	O	O	O
da	O	O	O
Metropolregion	O	O	O
Los	B-LOC	B-LOC	B-LOC
Angeles	I-LOC	I-LOC	I-LOC
befindn	O	O	O
sich	O	O	O
173	O	O	O
seibständige	O	O	O
Städte	O	O	O
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-20
# text = Sie umfosst de Countys Los Angeles , San Bernardino , Riverside , Ventura und Orange .
Sie	O	O	O
umfosst	O	O	O
de	O	O	O
Countys	O	O	O
Los	B-LOC	B-LOC	B-LOC
Angeles	I-LOC	I-LOC	I-LOC
,	O	O	O
San	B-LOC	B-LOC	B-LOC
Bernardino	I-LOC	I-LOC	I-LOC
,	O	O	O
Riverside	B-LOC	B-LOC	B-LOC
,	O	O	O
Ventura	B-LOC	B-LOC	B-LOC
und	O	O	O
Orange	B-LOC	B-LOC	B-LOC
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-21
# text = De Metropolregion eastreckt se somit bis an´d Grenz vo Nevada und hod a Fläch vo 87.972 Quadratkilometa .
De	O	O	O
Metropolregion	O	O	O
eastreckt	O	O	O
se	O	O	O
somit	O	O	O
bis	O	O	O
an´d	O	O	O
Grenz	O	O	O
vo	O	O	O
Nevada	B-LOC	B-LOC	B-LOC
und	O	O	O
hod	O	O	O
a	O	O	O
Fläch	O	O	O
vo	O	O	O
87.972	O	O	O
Quadratkilometa	O	O	O
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-22
# text = Dabei wead nua a Bruchteil diesa Fläch städtischa Nutzung übagem ; da gräßte Teil dea Fläch bstät aus unbewohnten Teiln dea Mojave-Wüste sowai as Joshua Tree National Park , dea se in Riverside und San Bernardino Countys befindt .
Dabei	O	O	O
wead	O	O	O
nua	O	O	O
a	O	O	O
Bruchteil	O	O	O
diesa	O	O	O
Fläch	O	O	O
städtischa	O	O	O
Nutzung	O	O	O
übagem	O	O	O
;	O	O	O
da	O	O	O
gräßte	O	O	O
Teil	O	O	O
dea	O	O	O
Fläch	O	O	O
bstät	O	O	O
aus	O	O	O
unbewohnten	O	O	O
Teiln	O	O	O
dea	O	O	O
Mojave-Wüste	B-LOC	B-LOC	B-LOC
sowai	O	O	O
as	O	O	O
Joshua	B-LOC	B-LOC	B-LOC
Tree	I-LOC	I-LOC	I-LOC
National	I-LOC	I-LOC	I-LOC
Park	I-LOC	I-LOC	I-LOC
,	O	O	O
dea	O	O	O
se	O	O	O
in	O	O	O
Riverside	B-LOC	B-LOC	B-LOC
und	O	O	O
San	B-LOC	B-LOC	B-LOC
Bernardino	I-LOC	I-LOC	I-LOC
Countys	O	O	O
befindt	O	O	O
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-23
# text = Am Ostrand dea Metropolregion verlaft de San-Andreas-Verwerfung ; außadem befindt se diarekt unta da Stod de Puente-Hills-Verwerfung .
Am	O	O	O
Ostrand	O	O	O
dea	O	O	O
Metropolregion	O	O	O
verlaft	O	O	O
de	O	O	O
San-Andreas-Verwerfung	B-LOC	B-LOC	B-LOC
;	O	O	O
außadem	O	O	O
befindt	O	O	O
se	O	O	O
diarekt	O	O	O
unta	O	O	O
da	O	O	O
Stod	O	O	O
de	O	O	O
Puente-Hills-Verwerfung	B-LOC	B-LOC	B-LOC
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-24
# text = De daraus resultierende Erdbebengefoa erklärt de strenga Bauvoaschriftn , de im gsamten sidkalifornischen Erdbebengebiet angwandt weann .
De	O	O	O
daraus	O	O	O
resultierende	O	O	O
Erdbebengefoa	O	O	O
erklärt	O	O	O
de	O	O	O
strenga	O	O	O
Bauvoaschriftn	O	O	O
,	O	O	O
de	O	O	O
im	O	O	O
gsamten	O	O	O
sidkalifornischen	B-LOCderiv	B-LOCderiv	B-LOCderiv
Erdbebengebiet	O	O	O
angwandt	O	O	O
weann	O	O	O
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-25
# text = Seit 1800 wurde Los Angeles vo nein groußen Erdbem mit oana Intensität vo sechs und häha af dea Richterskala und Tausendn vo kloaneren Beben erschittert .
Seit	O	O	O
1800	O	O	O
wurde	O	O	O
Los	B-LOC	B-LOC	B-LOC
Angeles	I-LOC	I-LOC	I-LOC
vo	O	O	O
nein	O	O	O
groußen	O	O	O
Erdbem	O	O	O
mit	O	O	O
oana	O	O	O
Intensität	O	O	O
vo	O	O	O
sechs	O	O	O
und	O	O	O
häha	O	O	O
af	O	O	O
dea	O	O	O
Richterskala	O	O	O
und	O	O	O
Tausendn	O	O	O
vo	O	O	O
kloaneren	O	O	O
Beben	O	O	O
erschittert	O	O	O
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-26
# text = Zoireiche Gebeide san erdbebensicha baut woan , wos de Anzoi vo Todesopfan bei Beben wäsentlich verringat .
Zoireiche	O	O	O
Gebeide	O	O	O
san	O	O	O
erdbebensicha	O	O	O
baut	O	O	O
woan	O	O	O
,	O	O	O
wos	O	O	O
de	O	O	O
Anzoi	O	O	O
vo	O	O	O
Todesopfan	O	O	O
bei	O	O	O
Beben	O	O	O
wäsentlich	O	O	O
verringat	O	O	O
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-27
# text = Bis zum Joa 1958 bstand zudem a gsetzliche Voaschrift , wonoch de Obagrenz fia Gebeide 45 Meta beziehungsweis 14 Stockweak ned übersteing durfte .
Bis	O	O	O
zum	O	O	O
Joa	O	O	O
1958	O	O	O
bstand	O	O	O
zudem	O	O	O
a	O	O	O
gsetzliche	O	O	O
Voaschrift	O	O	O
,	O	O	O
wonoch	O	O	O
de	O	O	O
Obagrenz	O	O	O
fia	O	O	O
Gebeide	O	O	O
45	O	O	O
Meta	O	O	O
beziehungsweis	O	O	O
14	O	O	O
Stockweak	O	O	O
ned	O	O	O
übersteing	O	O	O
durfte	O	O	O
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-28
# text = A Ausnahm wa nua as Rothaus vo 1928 mit 138 Meta .
A	O	O	O
Ausnahm	O	O	O
wa	O	O	O
nua	O	O	O
as	O	O	O
Rothaus	B-LOC	O	O
vo	O	O	O
1928	O	O	O
mit	O	O	O
138	O	O	O
Meta	O	O	O
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-29
# text = Erdbemsichare Konstruktiona machtn as Gsetz dann späda überflisse .
Erdbemsichare	O	O	O
Konstruktiona	O	O	O
machtn	O	O	O
as	O	O	O
Gsetz	O	O	O
dann	O	O	O
späda	O	O	O
überflisse	O	O	O
.	O	O	O

# sent_id = bar_wiki_Los-Angeles-30
# text = De Gfährdung duach Erdbem , de Obkehr vo dichta Bebaung und de Festlegung vo am Leitbuid , wonach Los Angeles eha a Art „ City in the Garden “ wean soit , standen ois Idee hinta diesa Voaschrift .
De	O	O	O
Gfährdung	O	O	O
duach	O	O	O
Erdbem	O	O	O
,	O	O	O
de	O	O	O
Obkehr	O	O	O
vo	O	O	O
dichta	O	O	O
Bebaung	O	O	O
und	O	O	O
de	O	O	O
Festlegung	O	O	O
vo	O	O	O
am	O	O	O
Leitbuid	O	O	O
,	O	O	O
wonach	O	O	O
Los	B-LOC	B-LOC	B-LOC
Angeles	I-LOC	I-LOC	I-LOC
