# newdoc id = bar_wiki_Schweiza-Rap
# sent_id = bar_wiki_Schweiza-Rap-1
# text = Schweiza Rap
Schweiza	B-LOCderiv	B-LOCderiv	B-LOCderiv
Rap	O	O	O

# sent_id = bar_wiki_Schweiza-Rap-2
# text = Schweiza Rap is gwissamaassn Rap as da Schweiz .
Schweiza	B-LOCderiv	B-LOCderiv	B-LOCderiv
Rap	O	O	O
is	O	O	O
gwissamaassn	O	O	O
Rap	O	O	O
as	O	O	O
da	O	O	O
Schweiz	B-LOC	B-LOC	B-LOC
.	O	O	O

# sent_id = bar_wiki_Schweiza-Rap-3
# text = Da Rap ko midunta af Englisch , Houchdeitsch , Alemannisch , Franzejsisch , Italienisch oda Retoromanisch saa .
Da	O	O	O
Rap	O	O	O
ko	O	O	O
midunta	O	O	O
af	O	O	O
Englisch	B-LANG	B-LANG	B-LANG
,	O	O	O
Houchdeitsch	B-LANG	B-LANG	B-LANG
,	O	O	O
Alemannisch	B-LANG	B-LANG	B-LANG
,	O	O	O
Franzejsisch	B-LANG	B-LANG	B-LANG
,	O	O	O
Italienisch	B-LANG	B-LANG	B-LANG
oda	O	O	O
Retoromanisch	B-LANG	B-LANG	B-LANG
saa	O	O	O
.	O	O	O

# sent_id = bar_wiki_Schweiza-Rap-4
# text = Af n Radio-Senda DRS 3 hod s bspw. 1983 schou an englischn Rap gem. D ejaschtn Dialektrap-Vasouchh hod s aa schou i d 80ga Jouana gem.
Af	O	O	O
n	O	O	O
Radio-Senda	O	O	O
DRS	B-ORG	B-ORG	B-ORG
3	I-ORG	I-ORG	I-ORG
hod	O	O	O
s	O	O	O
bspw.	O	O	O
1983	O	O	O
schou	O	O	O
an	O	O	O
englischn	B-LANGderiv	B-LANG	B-LANG
Rap	O	O	O
gem.	O	O	O
D	O	O	O
ejaschtn	O	O	O
Dialektrap-Vasouchh	O	O	O
hod	O	O	O
s	O	O	O
aa	O	O	O
schou	O	O	O
i	O	O	O
d	O	O	O
80ga	O	O	O
Jouana	O	O	O
gem.	O	O	O

# sent_id = bar_wiki_Schweiza-Rap-5
# text = A Bsundaheit von n alemannischn Rap i da Schweiz – owa aa von n arabischn Rap – is , dass a Dialektrap d globala Entwicklung von n Rap zen " Mainstream " midgmacht houd , wos daudamid zammahenkt , dass da alemannische Dialekt i da Schweiz aa a Mediensprouch is .
A	O	O	O
Bsundaheit	O	O	O
von	O	O	O
n	O	O	O
alemannischn	B-LANGderiv	B-LANG	B-LANG
Rap	O	O	O
i	O	O	O
da	O	O	O
Schweiz	B-LOC	B-LOC	B-LOC
–	O	O	O
owa	O	O	O
aa	O	O	O
von	O	O	O
n	O	O	O
arabischn	B-LANGderiv	B-LANG	B-LANG
Rap	O	O	O
–	O	O	O
is	O	O	O
,	O	O	O
dass	O	O	O
a	O	O	O
Dialektrap	O	O	O
d	O	O	O
globala	O	O	O
Entwicklung	O	O	O
von	O	O	O
n	O	O	O
Rap	O	O	O
zen	O	O	O
"	O	O	O
Mainstream	O	O	O
"	O	O	O
midgmacht	O	O	O
houd	O	O	O
,	O	O	O
wos	O	O	O
daudamid	O	O	O
zammahenkt	O	O	O
,	O	O	O
dass	O	O	O
da	O	O	O
alemannische	B-LANGderiv	B-LANG	B-LANG
Dialekt	O	O	O
i	O	O	O
da	O	O	O
Schweiz	B-LOC	B-LOC	B-LOC
aa	O	O	O
a	O	O	O
Mediensprouch	O	O	O
is	O	O	O
.	O	O	O

# sent_id = bar_wiki_Schweiza-Rap-6
# text = Ummetum z Deitschland , Italie , Frankreich un onnaschtwou wiad fost nea i da Houchsprouch grapt u da Dialektrap is nej aso weit kumma .
Ummetum	O	O	O
z	O	O	O
Deitschland	B-LOC	B-LOC	B-LOC
,	O	O	O
Italie	B-LOC	B-LOC	B-LOC
,	O	O	O
Frankreich	B-LOC	B-LOC	B-LOC
un	O	O	O
onnaschtwou	O	O	O
wiad	O	O	O
fost	O	O	O
nea	O	O	O
i	O	O	O
da	O	O	O
Houchsprouch	O	B-LANG	B-LANG
grapt	O	O	O
u	O	O	O
da	O	O	O
Dialektrap	O	O	O
is	O	O	O
nej	O	O	O
aso	O	O	O
weit	O	O	O
kumma	O	O	O
.	O	O	O

# sent_id = bar_wiki_Schweiza-Rap-7
# text = Weitas hom d Leit z ejascht nu recht vill af Englisch grappt .
Weitas	O	O	O
hom	O	O	O
d	O	O	O
Leit	O	O	O
z	O	O	O
ejascht	O	O	O
nu	O	O	O
recht	O	O	O
vill	O	O	O
af	O	O	O
Englisch	B-LANG	B-LANG	B-LANG
grappt	O	O	O
.	O	O	O

# sent_id = bar_wiki_Schweiza-Rap-8
# text = Un es houd " Freestyle Sessions " u " Hiphop-Jams " gem , wou d vaschinan Leit zammkumma han .
Un	O	O	O
es	O	O	O
houd	O	O	O
"	O	O	O
Freestyle	O	O	O
Sessions	O	O	O
"	O	O	O
u	O	O	O
"	O	O	O
Hiphop-Jams	O	O	O
"	O	O	O
gem	O	O	O
,	O	O	O
wou	O	O	O
d	O	O	O
vaschinan	O	O	O
Leit	O	O	O
