# newdoc id = bar_wiki_Viakanthof
# sent_id = bar_wiki_Viakanthof-1
# text = Viakanthof
Viakanthof	O	O

# sent_id = bar_wiki_Viakanthof-2
# text = A Viakanthof , aa Vierkanthof oder Viakanta is a bsundare Form vo an Bauanhof .
A	O	O
Viakanthof	O	O
,	O	O
aa	O	O
Vierkanthof	O	O
oder	O	O
Viakanta	O	O
is	O	O
a	O	O
bsundare	O	O
Form	O	O
vo	O	O
an	O	O
Bauanhof	O	O
.	O	O

# sent_id = bar_wiki_Viakanthof-3
# text = Se san im gaunz bairischn Raum auztreffn .
Se	O	O
san	O	O
im	O	O
gaunz	O	O
bairischn	B-LOCderiv	B-LOCderiv
Raum	O	O
auztreffn	O	O
.	O	O

# sent_id = bar_wiki_Viakanthof-4
# text = Oba niagans so haiffi wia im niedaöstarreichischn Mostviatl und in Owaöstareich im Traun- und im Hausruckviatl .
Oba	O	O
niagans	O	O
so	O	O
haiffi	O	O
wia	O	O
im	O	O
niedaöstarreichischn	B-LOCderiv	B-LOCderiv
Mostviatl	B-LOC	B-LOC
und	O	O
in	O	O
Owaöstareich	B-LOC	B-LOC
im	O	O
Traun-	B-LOC	B-LOC
und	O	O
im	O	O
Hausruckviatl	B-LOC	B-LOC
.	O	O

# sent_id = bar_wiki_Viakanthof-5
# text = Se san scho recht wuchtige Auwesn , mid bis 365 Fensta ( Viajohreszeidnhof , St. Florian ) .
Se	O	O
san	O	O
scho	O	O
recht	O	O
wuchtige	O	O
Auwesn	O	O
,	O	O
mid	O	O
bis	O	O
365	O	O
Fensta	O	O
(	O	O
Viajohreszeidnhof	O	B-LOC
,	O	O
St.	B-LOC	B-LOC
Florian	I-LOC	I-LOC
)	O	O
.	O	O

# sent_id = bar_wiki_Viakanthof-6
# text = Se hom a Seitnläng vo umma 30 m bis üwa 60 m .
Se	O	O
hom	O	O
a	O	O
Seitnläng	O	O
vo	O	O
umma	O	O
30	O	O
m	O	O
bis	O	O
üwa	O	O
60	O	O
m	O	O
.	O	O

# sent_id = bar_wiki_Viakanthof-7
# text = De Greßtn hom a Hofflächn vo foßt an Hekta , des san uma 5000 m² .
De	O	O
Greßtn	O	O
